Title,Status,Rating,Seasons,Page
One Piece,Watched,N/A,N/A,1
Smiling Friends,Watched,N/A,N/A,1
Hacks,Watched,N/A,N/A,1
Murderbot,Watched,N/A,N/A,1
Andor,Watched,N/A,N/A,1
Nirvanna the Band the Show,Watched,N/A,N/A,1
The Pitt,Watched,N/A,N/A,1
High Potential,Watched,N/A,N/A,1
Dope Thief,Watched,N/A,N/A,1
The Rehearsal,Watched,N/A,N/A,1
Ergo Proxy,Watched,N/A,N/A,1
Boardwalk Empire,Watched,N/A,N/A,1
NANA,Watched,N/A,N/A,1
Welcome to the N.H.K.,Watched,N/A,N/A,1
Banana Fish,Watched,N/A,N/A,1
The Studio,Watched,N/A,N/A,1
Junji Ito Maniac: Japanese Tales of the Macabre,Watched,N/A,N/A,1
Gen V,Watched,N/A,N/A,1
Those About to Die,Watched,N/A,N/A,1
The White Lotus,Watched,N/A,N/A,1
Abbott Elementary,Watched,N/A,N/A,1
INVINCIBLE,Watched,N/A,N/A,1
Severance,Watched,N/A,N/A,1
This World Can't Tear Me Down,Watched,N/A,N/A,1
Mythic Quest,Watched,N/A,N/A,2
Shōgun,Watched,N/A,N/A,2
Detroiters,Watched,N/A,N/A,2
It's Always Sunny in Philadelphia,Watched,N/A,N/A,2
Common Side Effects,Watched,N/A,N/A,2
Daredevil: Born Again,Watched,N/A,N/A,2
Zero Day,Watched,N/A,N/A,2
Creature Commandos,Watched,N/A,N/A,2
The Watcher,Watched,N/A,N/A,2
Mayfair Witches,Watched,N/A,N/A,2
Copenhagen Cowboy,Watched,N/A,N/A,2
Blockbuster,Watched,N/A,N/A,2
Mo,Watched,N/A,N/A,2
Man Vs Bee,Watched,N/A,N/A,2
Pantheon,Watched,N/A,N/A,2
Kaleidoscope,Watched,N/A,N/A,2
Rabbit Hole,Watched,N/A,N/A,2
Black Bird,Watched,N/A,N/A,2
Reboot,Watched,N/A,N/A,2
The Responder,Watched,N/A,N/A,2
jeen-yuhs: A Kanye Trilogy,Watched,N/A,N/A,2
BEEF,Watched,N/A,N/A,2
The Boys Presents: Diabolical,Watched,N/A,N/A,2
Roar,Watched,N/A,N/A,2
Wolf Like Me,Watched,N/A,N/A,3
The Bear,Watched,N/A,N/A,3
Shrinking,Watched,N/A,N/A,3
Call My Agent Bollywood,Watched,N/A,N/A,3
The Legend of Vox Machina,Watched,N/A,N/A,3
Tear Along the Dotted Line,Watched,N/A,N/A,3
Marvel's Hit-Monkey,Watched,N/A,N/A,3
House of Secrets: The Burari Deaths,Watched,N/A,N/A,3
