Title,Status,Rating,Seasons
One Piece,Watched,N/A,N/A
Smiling Friends,Watched,N/A,N/A
Hacks,Watched,N/A,N/A
Murderbot,Watched,N/A,N/A
Andor,Watched,N/A,N/A
Nirvanna the Band the Show,Watched,N/A,N/A
The Pitt,Watched,N/A,N/A
High Potential,Watched,N/A,N/A
Dope Thief,Watched,N/A,N/A
The Rehearsal,Watched,N/A,N/A
Ergo Proxy,Watched,N/A,N/A
Boardwalk Empire,Watched,N/A,N/A
NANA,Watched,N/A,N/A
Welcome to the N.H.K.,Watched,N/A,N/A
Banana Fish,Watched,N/A,N/A
The Studio,Watched,N/A,N/A
Junji Ito Maniac: Japanese Tales of the Macabre,Watched,N/A,N/A
Gen V,Watched,N/A,N/A
Those About to Die,Watched,N/A,N/A
The White Lotus,Watched,N/A,N/A
Abbott Elementary,Watched,N/A,N/A
INVINCIBLE,Watched,N/A,N/A
Severance,Watched,N/A,N/A
This World Can't Tear Me Down,Watched,N/A,N/A
